Fastq_name	target	sple_info	experiment	type	otherID	sampleID	tissue	factor	condition	treatment	replicate	pair_ended	shortLabel	longLabel	TH_type	visibility	colorR	colorG	colorB	maxHeightPixels	autoScale	viewLimits_low	viewLimits_high	priority	windowingFunction
Dlx2_BG_e13-5_Input_rep2_R1.fastq.gz	DLX2_E13.5	DLX2_BG_E13.5_Input_repO1b	DLX190407-6b	Input		DLX2_BG_E13.5_Input_repO1b	BG	DLX2	WT	E13.5	O1b	no	DLX2_BG_E13.5_Input_repO1b	DLX2_BG_E13.5_Input_repO1b	bigWig	full	255	128	0	50	on	0	50	70137	

																									

Dlx2_BG_e13-5_ChIP_rep3_R1.fastq.gz	DLX2_E13.5	DLX2_BG_E13.5_ChIP_repO1c	DLX190407-6c	ChIP		DLX2_BG_E13.5_ChIP_repO1c	BG	DLX2	WT	E13.5	O1c	no	DLX2_BG_E13.5_ChIP_repO1c	DLX2_BG_E13.5_ChIP_repO1c	bigWig	full	255	128	0	50	on	0	50	70140	mean

Dlx2_BG_e13-5_Input_rep3_R1.fastq.gz	DLX2_E13.5	DLX2_BG_E13.5_Input_repO1c	DLX190407-6c	Input		DLX2_BG_E13.5_Input_repO1c	BG	DLX2	WT	E13.5	O1c	no	DLX2_BG_E13.5_Input_repO1c	DLX2_BG_E13.5_Input_repO1c	bigWig	full	255	128	0	50	on	0	50	70141	

																									

# DLX5																									

Dlx5_BG_e13-5_ChIP_rep1.fastq.gz	DLX5_E13.5	DLX5_BG_E13.5_ChIP_repO1	DLX190407-7	ChIP		DLX5_BG_E13.5_ChIP_repO1	BG	DLX5	WT	E13.5	O1	no	DLX5_BG_E13.5_ChIP_repO1	DLX5_BG_E13.5_ChIP_repO1	bigWig	full	255	128	0	50	on	0	50	70132	mean

Dlx1_Dlx5_BG_e13-5_Input_rep1.fastq.gz	DLX5_E13.5	DLX5_BG_E13.5_Input_repO1	DLX190407-7	Input		DLX5_BG_E13.5_Input_repO1	BG	DLX5	WT	E13.5	O1	no	DLX5_BG_E13.5_Input_repO1	DLX5_BG_E13.5_Input_repO1	bigWig	full	255	128	0	50	on	0	50	70133	

																									

